ID,Tahun,Bulan,NamaBulan,t_Waktu,D_Ramadhan,D_AkhirTahun,D_Pandemi,Indeks_PembatasanSosial,D_BBM_Naik,HargaMinyakDunia_USD,D_Geopolitik_RusiaUkraina,HargaJual_Rp000,BiayaProduksi_Rp000,HargaBahanBaku_Rp000,BiayaPromosi_Juta,JumlahKaryawan,JumlahCabang,JumlahTransaksiOnline,InflasiBulanan_Persen,SukuBungaBI_Persen,JumlahKompetitor,IndeksKepuasanPelanggan,CurahHujan_mm,RatingAplikasi,Omzet_Juta,Keterangan
1,2016,1,Januari,1,0,0,0,0.8,0,27.37,0,47.88,39.9,17.28,11.91,20,3,0,0.29,6.69,6,8.7,244.1,4.1,376.05,
2,2016,2,Februari,2,0,0,0,0.0,0,31.99,0,52.27,43.14,20.94,8.27,17,3,0,0.33,6.58,9,8.9,73.7,3.55,325.12,
3,2016,3,Maret,3,0,0,0,1.9,0,29.27,0,47.83,40.49,15.68,11.81,14,3,0,0.38,6.4,8,8.1,129.0,3.74,313.5,
4,2016,4,April,4,0,0,0,2.4,0,32.42,0,49.78,40.99,17.19,8.21,16,3,8,0.22,6.29,4,7.4,123.8,4.46,327.83,
5,2016,5,Mei,5,0,0,0,0.0,0,45.48,0,49.01,40.98,19.58,8.76,16,3,0,0.29,6.07,8,7.4,299.3,4.67,332.78,
6,2016,6,Juni,6,1,0,0,0.0,0,37.5,0,48.03,40.56,20.62,9.33,13,3,0,0.5,5.86,9,7.2,209.7,3.82,340.26,
7,2016,7,Juli,7,0,0,0,0.3,0,40.35,0,46.44,39.49,19.25,15.06,16,3,0,0.24,5.75,4,7.1,160.9,4.88,366.5,
8,2016,8,Agustus,8,0,0,0,0.0,0,51.42,0,51.4,44.09,23.82,10.5,15,3,0,0.23,5.41,6,7.2,224.9,4.78,336.27,
9,2016,9,September,9,0,0,0,0.0,0,56.9,0,47.9,39.86,20.35,7.49,19,3,0,0.32,5.26,10,6.3,0.0,4.77,340.18,
10,2016,10,Oktober,10,0,0,0,0.0,0,46.94,0,51.95,44.4,21.47,10.94,17,3,42,0.37,5.06,8,6.2,176.1,3.84,390.88,
11,2016,11,November,11,0,1,0,2.2,0,51.62,0,53.82,45.14,24.1,8.38,16,3,6,0.38,4.91,4,8.3,359.8,3.58,380.31,
12,2016,12,Desember,12,0,1,0,1.9,0,56.02,0,52.01,44.7,24.09,8.22,17,3,17,0.49,4.67,3,7.3,191.9,4.8,387.18,
13,2017,1,Januari,13,0,0,0,0.2,0,60.94,0,50.47,42.45,24.03,11.12,18,3,0,0.35,4.75,8,8.8,186.1,3.96,370.99,
14,2017,2,Februari,14,0,0,0,2.8,0,53.54,0,52.27,44.94,23.63,9.46,19,3,0,0.35,4.65,7,7.8,229.3,4.43,354.69,
15,2017,3,Maret,15,0,0,0,1.2,0,56.51,0,50.2,42.43,23.13,10.06,15,3,0,0.32,4.54,11,6.1,260.6,4.64,351.48,
16,2017,4,April,16,0,0,0,0.0,0,60.33,0,54.62,46.09,25.56,9.63,15,3,0,0.47,4.52,7,6.5,0.2,3.69,338.17,
17,2017,5,Mei,17,0,0,0,0.9,0,60.05,0,45.84,39.93,22.75,10.37,20,3,0,0.26,4.56,11,6.6,28.6,4.67,357.31,
18,2017,6,Juni,18,1,0,0,0.0,0,58.37,0,50.58,43.59,24.55,10.65,17,3,0,0.2,4.55,4,8.9,198.9,4.91,385.86,
19,2017,7,Juli,19,0,0,0,2.2,0,59.85,0,45.52,38.71,19.65,6.03,14,3,0,0.41,4.58,7,6.7,115.7,4.59,304.28,
20,2017,8,Agustus,20,0,0,0,0.0,0,56.88,0,46.94,41.22,19.99,11.33,19,3,0,0.24,4.59,4,7.5,298.1,4.16,376.16,
21,2017,9,September,21,0,0,0,0.0,0,61.04,0,56.56,48.38,27.76,8.14,19,3,26,0.29,4.4,8,8.8,151.6,4.82,401.13,
22,2017,10,Oktober,22,0,0,0,0.0,0,61.7,0,55.22,47.59,27.6,7.32,14,3,2,0.39,4.27,4,8.9,5.9,4.29,351.67,
23,2017,11,November,23,0,1,0,3.1,0,63.95,0,50.35,43.69,23.56,10.18,19,3,27,0.26,4.16,7,6.7,65.9,4.62,455.89,
24,2017,12,Desember,24,0,1,0,0.0,0,62.33,0,47.8,40.79,20.9,10.57,20,4,11,0.27,4.27,6,6.1,0.0,4.73,445.07,
25,2018,1,Januari,25,0,0,0,0.0,0,64.66,0,43.43,37.92,21.6,9.11,19,4,19,0.22,4.35,4,6.5,158.9,4.62,395.96,
